Geneid	/N/dc2/scratch/rpolicas/jason_collab/results/aligned/JTEN001_Gpdh-het_1_Aligned.sortedByCoord.out.bam	/N/dc2/scratch/rpolicas/jason_collab/results/aligned/JTEN009_Gpdh-het_Ldh-het_3_Aligned.sortedByCoord.out.bam	/N/dc2/scratch/rpolicas/jason_collab/results/aligned/JTEN005_Gpdh-mut_2_Aligned.sortedByCoord.out.bam	/N/dc2/scratch/rpolicas/jason_collab/results/aligned/JTEN015_Delta_3_Aligned.sortedByCoord.out.bam	/N/dc2/scratch/rpolicas/jason_collab/results/aligned/JTEN010_Gpdh-mut_Ldh-mut_1_Aligned.sortedByCoord.out.bam	/N/dc2/scratch/rpolicas/jason_collab/results/aligned/JTEN014_Delta_2_Aligned.sortedByCoord.out.bam	/N/dc2/scratch/rpolicas/jason_collab/results/aligned/JTEN018_Pre_2_Aligned.sortedByCoord.out.bam	/N/dc2/scratch/rpolicas/jason_collab/results/aligned/JTEN008_Gpdh-het_Ldh-het_2_Aligned.sortedByCoord.out.bam	/N/dc2/scratch/rpolicas/jason_collab/results/aligned/JTEN019_Pre_3_Aligned.sortedByCoord.out.bam	/N/dc2/scratch/rpolicas/jason_collab/results/aligned/JTEN004_Gpdh-mut_1_Aligned.sortedByCoord.out.bam	/N/dc2/scratch/rpolicas/jason_collab/results/aligned/JTEN012_Gpdh-mut_Ldh-mut_3_Aligned.sortedByCoord.out.bam	/N/dc2/scratch/rpolicas/jason_collab/results/aligned/JTEN011_Gpdh-mut_Ldh-mut_2_Aligned.sortedByCoord.out.bam	/N/dc2/scratch/rpolicas/jason_collab/results/aligned/JTEN020_Pre_4_Aligned.sortedByCoord.out.bam	/N/dc2/scratch/rpolicas/jason_collab/results/aligned/JTEN007_Gpdh-het_Ldh-het_1_Aligned.sortedByCoord.out.bam	/N/dc2/scratch/rpolicas/jason_collab/results/aligned/JTEN017_Pre_1_Aligned.sortedByCoord.out.bam	/N/dc2/scratch/rpolicas/jason_collab/results/aligned/JTEN002_Gpdh-het_2_Aligned.sortedByCoord.out.bam	/N/dc2/scratch/rpolicas/jason_collab/results/aligned/JTEN003_Gpdh-het_3_Aligned.sortedByCoord.out.bam	/N/dc2/scratch/rpolicas/jason_collab/results/aligned/JTEN006_Gpdh-mut_3_Aligned.sortedByCoord.out.bam	/N/dc2/scratch/rpolicas/jason_collab/results/aligned/JTEN016_Delta_4_Aligned.sortedByCoord.out.bam	/N/dc2/scratch/rpolicas/jason_collab/results/aligned/JTEN013_Delta_1_Aligned.sortedByCoord.out.bam
FBgn0267431	6	3	11	0	5	4	1	2	4	10	3	5	2	6	0	4	5	12	1	4
FBgn0085804	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0039987	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0267798	121	104	55	98	170	54	106	78	148	26	149	167	131	104	114	110	102	33	33	59
FBgn0267797	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0058182	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0267430	1	0	0	2	3	0	0	0	1	0	1	0	1	0	0	0	1	0	1	1
FBgn0266747	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0086917	490	664	276	410	927	548	428	685	535	171	984	943	682	678	615	233	408	386	536	327
FBgn0010247	513	682	747	691	1057	632	497	693	758	788	1056	975	576	763	490	468	601	782	641	545
FBgn0086378	1173	1138	1359	1402	1743	1410	986	1237	1300	1503	1866	1648	933	1370	986	1216	1390	1295	1315	1131
FBgn0267816	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0263977	4041	4843	3970	3493	5006	4352	3102	5123	4528	3896	5118	5137	2796	5185	2992	3654	4602	3814	4203	3600
FBgn0069923	2047	2648	1824	1245	2190	1501	1045	2297	1275	1804	2098	2183	947	3018	903	1816	2575	1977	1547	1185
FBgn0039955	1603	2142	2021	2021	2776	1858	1686	2152	2521	2054	2808	2879	1757	2284	1557	1531	1980	1985	1971	1711
FBgn0259821	210	170	231	149	215	161	109	168	198	216	197	207	140	169	122	202	210	218	116	147
FBgn0027341	21035	14232	13226	4890	8354	5711	3917	6479	5563	13565	8759	8689	3859	11182	4380	16590	17110	13423	4262	5491
FBgn0085812	0	0	1	5	0	1	0	0	0	1	3	1	0	0	1	0	0	2	0	0
FBgn0058198	1675	1312	773	2726	3539	2522	2098	2836	2804	988	3707	3709	1789	1592	2062	6705	4484	1056	2070	1784
FBgn0037213	2546	3121	2958	2714	3077	2520	2478	4406	3234	3248	3318	3220	2448	3704	2402	2615	3203	3063	2759	2171
FBgn0053294	10	3	8	15	21	9	10	9	9	4	22	25	9	13	10	11	11	14	3	10
FBgn0000500	26	29	28	29	50	44	21	22	31	33	62	68	22	37	28	25	33	36	17	21
FBgn0037215	1462	1550	1647	2003	1932	1889	1371	1861	2027	1501	2124	2051	1396	1659	1428	1240	1402	1405	1797	1557
FBgn0037217	1534	1075	1305	199	430	179	86	382	83	1079	461	469	104	822	119	1323	1251	1220	73	185
FBgn0037218	1082	1178	1197	1438	1465	1336	1137	1481	1606	1223	1528	1471	1106	1269	1169	873	1108	1104	1323	1212
FBgn0051516	16	9	7	4	3	2	0	2	0	6	1	1	0	3	1	19	17	5	0	1
FBgn0261436	1362	1316	988	1072	1371	1159	1032	1379	1294	845	1389	1339	906	1299	865	1172	1202	939	1137	1028
FBgn0037220	1241	1296	1149	1242	1211	1099	934	1499	1261	1098	1291	1169	854	1384	897	1047	1237	1086	1115	999
FBgn0015331	261	240	252	377	305	291	262	334	369	281	354	364	240	253	266	219	234	223	308	324
FBgn0010225	11579	9851	10880	13866	11888	11035	10916	9406	13213	8969	12816	11836	10209	9713	9948	9995	11231	10151	10396	8651
FBgn0267988	0	1	2	2	2	0	0	1	0	1	2	0	1	0	0	1	2	2	0	1
FBgn0037222	307	304	237	216	361	204	222	274	349	162	402	367	155	313	276	537	339	210	155	202
FBgn0085334	1786	1428	564	1526	1700	1992	1669	873	1962	429	1888	1720	830	993	1539	1595	1697	712	1500	1409
FBgn0037223	424	345	513	23	167	53	14	159	16	371	176	154	12	302	16	393	336	554	9	17
FBgn0037224	43369	34197	47756	128	12028	2247	163	8889	229	36056	12795	12457	947	24388	100	26778	41410	43436	221	403
FBgn0037225	15931	9572	10838	88	3241	625	83	1937	113	10201	3554	3432	215	6086	90	11576	11991	11357	104	1537
FBgn0250821	22	15	13	25	3	7	2	5	0	19	2	4	1	8	3	14	11	14	4	7
FBgn0037227	8604	5087	5303	186	1614	519	258	1359	230	4759	1796	1534	268	3905	230	7833	6813	4925	158	911
FBgn0041621	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
FBgn0037228	270	269	244	285	239	383	441	276	614	190	248	294	458	253	346	275	335	211	406	300
FBgn0037229	4	65	31	90	51	107	4	47	5	39	60	57	7	81	3	2	7	14	80	86
FBgn0267157	0	0	1	0	2	0	4	1	3	1	0	4	1	1	2	2	1	0	0	0
FBgn0041605	1705	1847	2137	1736	2876	2164	1912	1975	2409	2094	2780	3041	1849	2150	1778	1570	1897	2224	1895	1826
FBgn0037230	1529	1054	1193	2475	1504	1816	2336	1384	2805	898	1731	1486	2063	990	2346	1814	1634	1142	1736	1592
FBgn0262214	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0037231	1229	2089	1384	1255	1971	950	1069	2441	1435	1308	1842	1977	1165	2182	1128	944	1158	1363	926	855
FBgn0027930	1195	1257	912	1619	1153	1522	1529	1708	2025	919	1229	1203	1597	1455	1505	938	1231	954	1487	1357
FBgn0267815	11	10	10	21	11	11	20	17	26	10	13	17	23	10	28	6	7	17	3	17
FBgn0037232	933	1229	1003	1026	1105	1237	998	1483	1458	949	1235	1155	944	1261	957	878	1098	883	1227	1141
FBgn0261086	43	27	44	62	60	45	55	50	65	45	71	79	33	36	45	42	48	44	45	49
FBgn0037234	591	564	620	641	683	502	414	579	641	581	675	649	402	623	427	489	595	598	481	427
FBgn0027866	1263	1283	1348	1465	1795	1484	1312	1692	1815	1481	1751	1747	1199	1445	1190	1091	1340	1340	1422	1339
FBgn0037236	462	493	570	612	633	828	593	682	926	609	686	688	552	551	562	464	547	490	822	681
FBgn0040687	1	1	0	1	2	0	0	0	0	1	2	1	0	0	0	4	1	0	0	0
FBgn0037235	543	579	654	532	646	529	398	675	500	635	710	639	389	592	331	541	611	590	511	438
FBgn0261434	6	12	8	10	13	9	14	9	14	5	17	11	7	14	10	10	8	4	12	5
FBgn0037238	96	94	146	137	188	108	117	138	141	136	175	174	123	135	121	91	107	145	93	102
FBgn0266227	135	102	138	89	192	148	176	118	226	159	199	181	131	78	166	133	156	147	133	111
FBgn0037239	4743	4755	4331	6103	4537	5061	6241	4929	7733	3246	4890	4865	5144	4542	6268	3897	4908	3876	4980	4560
FBgn0037240	1691	1839	2083	2587	2770	2345	1866	2588	2861	2160	2866	2810	1953	1923	2040	1480	1839	2037	2314	2094
FBgn0003882	635	680	692	831	929	812	784	820	1055	730	965	927	763	757	717	612	676	702	918	790
FBgn0037241	444	468	530	485	514	541	415	590	596	548	549	545	418	521	367	363	483	490	544	476
FBgn0086608	120	169	157	246	319	139	136	163	177	180	362	327	120	184	124	98	125	168	139	124
FBgn0267814	1	8	2	2	8	4	1	3	2	1	7	7	0	3	1	4	3	1	3	1
FBgn0267661	64	63	78	82	124	51	53	83	93	71	102	108	58	62	44	47	47	71	59	52
FBgn0037242	667	723	694	698	812	636	522	771	715	660	892	763	464	712	499	614	700	657	613	580
FBgn0086605	995	910	919	959	892	1030	770	1130	1093	852	1022	1008	717	968	765	848	1009	842	1057	892
FBgn0037244	364	351	333	489	518	436	354	368	462	369	467	463	326	345	323	318	366	367	398	379
FBgn0266697	18	16	23	7	11	15	5	17	9	24	14	27	6	26	2	13	26	16	10	6
FBgn0263594	11520	14369	13677	15421	17424	15033	13027	15275	18412	13757	17916	17360	12710	15507	12944	9719	12058	13577	14778	12249
FBgn0052944	63	57	66	67	107	78	62	60	98	91	88	124	60	58	82	61	75	69	52	75
FBgn0051528	2	5	2	37	2	0	2	2	2	4	5	1	1	3	3	1	0	2	0	1
FBgn0037248	1435	1724	1427	1446	1929	1612	1883	2271	2546	1379	1929	2055	1929	1889	1520	1398	1650	1650	1701	1774
FBgn0051525	3	4	1	52	9	5	6	6	2	5	4	7	3	1	0	1	3	2	1	0
