gene_id	JTEN007_Gpdh.het_Ldh.het_1	JTEN008_Gpdh.het_Ldh.het_2	JTEN009_Gpdh.het_Ldh.het_3	JTEN010_Gpdh.mut_Ldh.mut_1	JTEN011_Gpdh.mut_Ldh.mut_2	JTEN012_Gpdh.mut_Ldh.mut_3
FBgn0000003	0	0	0	0	0	1
FBgn0000008	606	754	574	562	522	558
FBgn0000014	1238	1225	1140	1200	1105	1227
FBgn0000015	487	609	485	586	612	609
FBgn0000017	712	638	698	681	660	679
FBgn0000018	164	211	172	226	227	232
FBgn0000022	0	0	1	0	0	0
FBgn0000024	455	432	427	752	760	722
FBgn0000028	11	16	11	18	21	19
FBgn0000032	878	699	980	711	785	826
FBgn0000036	171	168	150	310	251	256
FBgn0000037	96	125	99	216	183	176
FBgn0000038	276	322	249	443	435	446
FBgn0000039	59	72	67	118	95	100
FBgn0000042	68706	74056	65494	77779	79619	80261
FBgn0000043	4107	4929	4007	4237	4248	4502
FBgn0000044	559566	615049	589791	469406	491570	519856
FBgn0000045	4	3	3	10	12	8
FBgn0000046	17543	15629	19402	12233	12912	12964
FBgn0000047	6	6	6	3	3	4
FBgn0000052	1025	1355	900	1764	1710	1930
FBgn0000053	1773	2161	1648	2462	2478	2520
FBgn0000055	6	7	2	4	10	3
FBgn0000056	0	0	0	0	0	0
FBgn0000057	472	566	482	541	638	616
FBgn0000061	171	237	200	282	304	295
FBgn0000063	36	26	36	33	51	56
FBgn0000064	71694	71280	73538	75225	74169	80643
FBgn0000071	130	136	123	160	149	194
FBgn0000075	6143	2175	4611	1652	1670	1898
FBgn0000077	154	151	128	194	211	196
FBgn0000078	370	216	389	678	705	805
FBgn0000079	803	497	949	1610	1623	1806
FBgn0000083	12187	11848	11260	12868	12835	14246
FBgn0000084	130	100	139	94	87	109
FBgn0000092	7	15	10	29	34	32
FBgn0000094	0	0	0	1	0	0
FBgn0000097	772	892	666	1099	1202	1209
FBgn0000100	45153	55902	46181	49965	50551	58477
FBgn0000108	1094	1146	992	1707	1868	1605
FBgn0000109	903	842	830	820	801	900
FBgn0000114	373	415	360	502	500	532
FBgn0000115	1758	1824	1760	1710	1653	1874
FBgn0000116	114311	121768	125497	117531	117899	127352
FBgn0000117	4326	5162	4214	4913	5077	5366
FBgn0000119	622	735	526	690	688	705
FBgn0000120	64	68	59	93	93	136
FBgn0000121	7	11	10	8	9	13
FBgn0000137	57	48	56	46	61	61
FBgn0000139	458	524	400	626	601	700
FBgn0000140	202	217	198	143	150	170
FBgn0000146	153	178	191	144	145	126
FBgn0000147	52	62	60	56	55	33
FBgn0000150	25758	31969	25381	17889	17663	21358
FBgn0000152	612	812	554	801	847	883
FBgn0000153	2	1	9	8	5	15
FBgn0000157	72	89	72	65	80	63
FBgn0000158	24	31	32	35	33	31
FBgn0000163	534	593	465	747	717	715
FBgn0000166	0	0	0	1	0	0
FBgn0000173	4037	3954	3866	4239	4249	3827
FBgn0000179	194	154	159	173	179	169
FBgn0000180	33	36	32	43	43	44
FBgn0000181	22168	25563	21744	22313	22461	24426
FBgn0000182	0	0	0	0	0	0
FBgn0000183	2719	2799	2370	2751	2717	2696
FBgn0000206	7	5	10	6	18	4
FBgn0000212	2022	2373	1785	2104	2142	2096
FBgn0000216	16	16	20	11	15	8
FBgn0000221	94	132	104	118	106	139
FBgn0000227	0	0	0	0	0	0
FBgn0000228	540	564	467	670	667	645
FBgn0000229	1561	1705	1295	1777	1802	1912
FBgn0000233	13	14	11	12	10	6
FBgn0000239	2097	2288	2059	2224	2332	2193
FBgn0000241	99	118	78	85	86	88
FBgn0000244	1873	2057	1728	2386	2452	2534
FBgn0000246	95	82	70	96	93	96
FBgn0000247	1047	1222	1141	1167	1221	1320
FBgn0000250	3709	3503	3307	3113	3222	3226
FBgn0000251	675	678	644	811	883	885
FBgn0000253	30055	27915	28064	30542	31497	26985
FBgn0000256	322	310	252	570	574	565
FBgn0000257	340	427	392	453	429	455
FBgn0000259	4565	4443	4253	4329	4527	4138
FBgn0000261	6020	5237	6176	8241	8558	9109
FBgn0000273	6491	5955	6445	6809	6769	6294
FBgn0000274	0	0	1	0	1	1
FBgn0000276	1	10	0	19	15	21
FBgn0000277	1	5	4	22	15	15
FBgn0000278	1	10	3	7	13	9
FBgn0000279	4	25	2	47	42	47
FBgn0000283	2068	2329	1850	2106	2164	2177
FBgn0000286	807	728	758	806	772	812
FBgn0000287	217	246	195	262	249	237
FBgn0000289	1982	2097	1722	1819	1862	1968
FBgn0000299	50221	57132	49287	42184	42148	46246
FBgn0000303	158	186	136	276	276	234
FBgn0000307	968	1007	878	1168	1199	1198
