gene_id	JTEN001_Gpdh.het_1	JTEN002_Gpdh.het_2	JTEN003_Gpdh.het_3	JTEN004_Gpdh.mut_1	JTEN005_Gpdh.mut_2	JTEN006_Gpdh.mut_3
FBgn0000003	0	0	0	0	0	1
FBgn0000008	565	785	731	736	799	649
FBgn0000014	1120	1025	1273	1117	1090	1128
FBgn0000015	371	433	530	450	482	412
FBgn0000017	549	482	582	658	749	654
FBgn0000018	150	131	137	185	172	168
FBgn0000022	1	1	4	1	0	1
FBgn0000024	520	421	485	702	706	746
FBgn0000028	8	7	10	10	8	4
FBgn0000032	1164	975	1162	1011	1060	1025
FBgn0000036	149	144	174	223	208	213
FBgn0000037	90	64	103	131	121	121
FBgn0000038	255	245	325	331	380	332
FBgn0000039	66	57	68	83	73	78
FBgn0000042	55731	44870	56950	66474	69719	62517
FBgn0000043	3585	3362	3664	4460	4213	4298
FBgn0000044	589956	494676	578191	396197	479736	444409
FBgn0000045	9	0	8	7	3	3
FBgn0000046	22630	14288	18865	13675	18319	15345
FBgn0000047	2	5	6	2	4	4
FBgn0000052	1075	1069	1038	1202	1146	1092
FBgn0000053	1915	1716	2082	1688	1738	1870
FBgn0000055	3	4	6	8	9	7
FBgn0000056	0	0	0	0	0	0
FBgn0000057	482	404	445	494	438	437
FBgn0000061	164	119	169	126	158	149
FBgn0000063	35	37	33	48	31	35
FBgn0000064	71595	62108	70153	64968	68457	68338
FBgn0000071	146	123	133	163	154	165
FBgn0000075	5004	4602	5554	3138	4946	3119
FBgn0000077	154	144	173	155	160	148
FBgn0000078	455	259	258	395	334	585
FBgn0000079	1059	477	674	781	698	1129
FBgn0000083	10985	10471	12041	13780	14351	13209
FBgn0000084	128	128	134	94	129	118
FBgn0000092	8	8	7	13	5	9
FBgn0000094	0	0	0	0	0	0
FBgn0000097	494	525	649	858	835	823
FBgn0000100	41542	37997	40049	37745	40309	38833
FBgn0000108	1008	883	1126	1125	1222	1187
FBgn0000109	949	871	962	747	810	758
FBgn0000114	296	207	278	359	376	374
FBgn0000115	1487	1356	1608	1621	1600	1569
FBgn0000116	122211	97011	106942	92274	103367	98283
FBgn0000117	4020	3666	4202	4297	4425	4093
FBgn0000119	545	508	556	565	560	500
FBgn0000120	59	72	74	112	115	98
FBgn0000121	6	11	7	11	16	13
FBgn0000137	65	45	74	60	67	63
FBgn0000139	443	398	463	453	414	431
FBgn0000140	184	165	200	178	171	170
FBgn0000146	134	69	97	172	154	160
FBgn0000147	61	50	56	51	48	52
FBgn0000150	23159	22214	23212	16678	18334	15837
FBgn0000152	576	580	693	738	713	654
FBgn0000153	16	35	35	7	4	1
FBgn0000157	68	53	72	66	64	65
FBgn0000158	28	17	27	31	28	31
FBgn0000163	448	390	464	597	623	572
FBgn0000166	0	0	0	0	1	0
FBgn0000173	3748	3058	3740	3708	3633	3750
FBgn0000179	148	146	161	160	170	179
FBgn0000180	28	29	23	35	48	45
FBgn0000181	16764	14399	16644	14163	15519	15383
FBgn0000182	0	0	0	0	0	0
FBgn0000183	1786	1513	2071	2438	2427	2365
FBgn0000206	6	10	9	8	10	6
FBgn0000212	1591	1296	1585	1693	1762	1647
FBgn0000216	36	21	23	14	13	13
FBgn0000221	92	100	111	99	104	95
FBgn0000227	0	0	0	0	0	0
FBgn0000228	467	386	496	494	491	532
FBgn0000229	1160	1100	1440	1490	1504	1474
FBgn0000233	18	8	8	13	15	9
FBgn0000239	1802	1529	1983	1715	1786	1672
FBgn0000241	49	71	68	56	66	51
FBgn0000244	1493	1643	1744	1614	1807	1670
FBgn0000246	71	67	78	92	96	75
FBgn0000247	991	834	987	1116	1104	1088
FBgn0000250	3434	3106	3579	3145	3264	3513
FBgn0000251	540	518	502	648	563	585
FBgn0000253	20426	15131	23320	22298	23128	23882
FBgn0000256	202	208	219	282	346	323
FBgn0000257	357	309	314	344	377	359
FBgn0000259	3375	2716	4014	3412	3671	3668
FBgn0000261	8455	4724	6569	6483	7075	7049
FBgn0000273	6266	4859	6161	5065	5482	5616
FBgn0000274	0	1	1	2	1	3
FBgn0000276	1	1	2	270	8	92
FBgn0000277	3	0	0	171	8	106
FBgn0000278	1	0	1	57	7	28
FBgn0000279	0	2	1	69	18	119
FBgn0000283	1769	1404	1848	1734	1804	1819
FBgn0000286	689	527	754	691	727	746
FBgn0000287	214	175	212	225	220	195
FBgn0000289	1483	1329	1538	1719	1744	1693
FBgn0000299	43029	36217	41011	35542	46626	41052
FBgn0000303	146	133	164	194	180	190
FBgn0000307	804	641	927	932	993	965
FBgn0000308	16969	13375	19132	17953	18892	18094
FBgn0000316	904	873	1020	1096	1116	1011
FBgn0000317	2273	1910	2789	3061	3881	3198
FBgn0000318	2664	2364	2576	2678	2661	2475
FBgn0000319	7216	6062	7092	8544	8534	8119
FBgn0000320	86	73	71	67	76	66
FBgn0000326	855	710	847	1000	1121	1066
FBgn0000330	708	660	714	744	666	639
FBgn0000337	278	239	249	250	301	230
FBgn0000339	990	983	1070	1364	1346	1224
FBgn0000346	261	283	307	383	327	315
FBgn0000351	16	6	11	12	10	10
FBgn0000352	414	382	411	447	435	449
FBgn0000355	9	26	20	25	26	19
FBgn0000356	0	0	0	0	0	0
FBgn0000357	5	5	2	2	4	4
FBgn0000358	0	0	0	0	0	0
FBgn0000359	0	0	0	0	0	0
FBgn0000360	0	0	0	0	0	1
FBgn0000370	3277	2684	3332	4473	4369	4481
FBgn0000376	157	143	159	191	176	211
FBgn0000377	677	578	657	629	695	702
FBgn0000382	671	611	725	731	764	829
FBgn0000384	487	404	563	662	620	639
FBgn0000392	0	0	0	0	0	0
FBgn0000394	602	638	671	670	623	693
FBgn0000395	321	242	332	331	300	337
FBgn0000404	542	450	582	494	515	525
FBgn0000405	359	303	314	236	248	252
FBgn0000406	25857	19432	26438	33472	38301	36928
FBgn0000411	294	224	289	323	324	276
FBgn0000412	2009	1574	2125	2051	2136	2054
FBgn0000414	531	486	568	677	696	681
FBgn0000416	6565	5955	6346	7628	7683	7472
FBgn0000422	1637	2007	1484	470	761	714
FBgn0000426	643	585	710	648	605	618
FBgn0000427	9	7	6	6	7	3
FBgn0000439	33	39	47	60	51	31
FBgn0000442	427	324	373	358	331	320
FBgn0000447	938	838	999	860	883	807
FBgn0000448	39	42	48	85	89	91
FBgn0000449	17	8	23	14	27	29
FBgn0000451	28006	24735	35354	35394	42379	33816
FBgn0000454	4478	3476	4044	4646	4994	4199
FBgn0000455	1056	852	903	1136	1136	1009
FBgn0000459	58	43	64	42	62	59
FBgn0000463	404	372	456	481	470	499
FBgn0000464	79	88	116	108	95	99
FBgn0000473	296	292	225	161	158	156
FBgn0000477	3134	2591	3072	1236	1721	1426
FBgn0000479	2728	2089	2515	2125	2314	2424
FBgn0000482	325	310	377	373	366	306
FBgn0000489	1093	901	1033	983	972	1203
FBgn0000490	384	376	418	363	344	389
FBgn0000492	117	100	126	106	99	102
FBgn0000499	273	261	288	312	321	298
FBgn0000500	26	25	33	33	28	36
FBgn0000504	68	44	47	26	38	41
FBgn0000520	203	193	184	212	217	184
FBgn0000524	260	236	308	286	295	289
FBgn0000527	93	310	132	28	22	36
FBgn0000529	4	3	3	3	2	5
FBgn0000533	583	690	837	966	893	893
FBgn0000535	79	69	82	88	77	90
FBgn0000536	2211	2178	2529	1998	2226	2080
FBgn0000541	2586	2165	2861	2989	3214	3007
FBgn0000542	645	658	651	513	529	555
FBgn0000543	400	383	419	382	362	356
FBgn0000546	937	793	964	747	806	822
FBgn0000547	1371	1132	1583	1929	1996	1887
FBgn0000551	568	702	499	129	195	156
FBgn0000552	4	2	3	1	0	2
FBgn0000557	470	443	500	540	514	527
FBgn0000559	99777	85365	95225	96690	102859	94250
FBgn0000560	6	3	4	6	3	4
FBgn0000562	1949	1500	1941	1935	1954	1964
FBgn0000564	24	36	20	31	23	21
FBgn0000565	2048	2988	2306	2914	2910	2990
FBgn0000566	7357	6910	7943	10747	11231	11255
FBgn0000567	2599	2064	1814	821	1044	1152
FBgn0000568	923	966	1259	1356	1434	1316
FBgn0000575	1672	1512	1772	1617	1494	1742
FBgn0000576	119	117	139	146	133	139
FBgn0000577	81	77	78	78	50	72
FBgn0000578	741	544	686	727	670	742
FBgn0000579	47945	44253	48914	44864	48298	46761
FBgn0000581	1184	1068	1276	1393	1411	1387
FBgn0000588	130	135	131	110	132	120
FBgn0000591	17	13	21	15	13	11
FBgn0000592	3829	2915	3776	1010	1462	1272
FBgn0000594	14	8	9	3	6	3
FBgn0000606	4	10	7	10	8	10
FBgn0000611	1725	1564	1890	2222	2157	2322
FBgn0000615	312	269	268	294	297	250
FBgn0000617	233	249	272	246	265	259
FBgn0000618	211	202	215	180	180	169
FBgn0000625	72	60	81	56	84	60
FBgn0000629	522	525	589	616	562	605
FBgn0000633	96	100	116	184	140	159
FBgn0000635	1453	1294	1585	1979	1917	1800
FBgn0000636	2403	2176	2871	3242	3587	3194
FBgn0000639	2	1	0	46	31	23
FBgn0000640	26	8	5	17	9	17
FBgn0000644	26	40	27	25	19	17
FBgn0000658	395	334	418	416	376	377
