gene_id	JTEN013_Delta_1	JTEN014_Delta_2	JTEN015_Delta_3	JTEN016_Delta_4	JTEN017_Pre_1	JTEN018_Pre_2	JTEN019_Pre_3	JTEN020_Pre_4
FBgn0000003	0	0	0	0	0	0	1	0
FBgn0000008	412	481	456	388	363	429	642	519
FBgn0000014	1073	990	1270	1048	1272	1108	1782	1141
FBgn0000015	548	548	573	572	579	593	884	571
FBgn0000017	479	490	634	465	471	488	696	533
FBgn0000018	207	261	339	290	196	215	298	204
FBgn0000022	0	1	0	0	0	0	0	0
FBgn0000024	428	567	495	501	510	538	575	523
FBgn0000028	17	21	23	15	16	10	14	10
FBgn0000032	610	657	813	591	550	544	761	541
FBgn0000036	223	250	242	247	255	238	365	251
FBgn0000037	105	130	101	127	134	138	173	108
FBgn0000038	337	339	288	277	256	245	370	262
FBgn0000039	72	106	63	59	82	66	104	68
FBgn0000042	55106	67280	69081	67677	57398	55906	75561	55493
FBgn0000043	4120	4729	5771	4418	3657	3865	5311	3639
FBgn0000044	352940	417141	472707	463739	391347	360868	577014	324779
FBgn0000045	1	9	6	10	9	5	8	7
FBgn0000046	6731	7167	11483	8617	7331	7420	11041	6041
FBgn0000047	2	4	2	1	0	1	1	2
FBgn0000052	1557	1928	2649	1570	1458	1477	1818	1443
FBgn0000053	1966	3645	3856	2187	2275	2210	2620	1958
FBgn0000055	4	8	5	4	4	5	5	3
FBgn0000056	0	0	0	0	0	0	0	0
FBgn0000057	329	440	484	417	386	420	499	384
FBgn0000061	123	124	152	106	87	100	103	78
FBgn0000063	37	47	71	53	30	54	49	37
FBgn0000064	35587	42481	39962	44555	46573	48561	65977	41354
FBgn0000071	109	118	154	117	107	102	135	111
FBgn0000075	166	465	457	269	149	171	138	670
FBgn0000077	136	156	144	180	111	112	142	119
FBgn0000078	84	104	1245	118	192	138	129	60
FBgn0000079	226	227	1805	228	526	272	355	192
FBgn0000083	6697	8612	9565	7263	6796	6871	8941	6870
FBgn0000084	26	15	83	18	24	17	32	23
FBgn0000092	19	35	33	15	23	16	25	15
FBgn0000094	0	0	0	0	0	0	0	1
FBgn0000097	962	1110	1225	1080	1114	1025	1575	1148
FBgn0000100	35675	41400	41551	37901	36431	36502	47251	29001
FBgn0000108	1256	1461	1324	1203	1323	1292	1745	1404
FBgn0000109	772	872	752	879	699	688	992	618
FBgn0000114	303	322	657	332	385	402	517	379
FBgn0000115	968	1044	1017	1150	835	931	1204	830
FBgn0000116	64933	74308	94626	78873	71875	71243	106052	64133
FBgn0000117	3645	4044	4491	3974	3481	3242	4536	3413
FBgn0000119	669	771	886	745	718	718	986	674
FBgn0000120	69	63	44	32	24	16	23	13
FBgn0000121	10	5	5	6	6	3	7	3
FBgn0000137	85	69	82	84	107	106	143	115
FBgn0000139	424	549	566	490	398	375	568	358
FBgn0000140	203	227	297	224	198	194	238	172
FBgn0000146	114	155	322	113	114	167	186	107
FBgn0000147	34	50	116	49	42	50	49	41
FBgn0000150	15118	14810	13705	14387	13523	15367	19482	11451
FBgn0000152	655	815	917	777	718	702	1001	691
FBgn0000153	2	2	28	4	2	2	2	4
FBgn0000157	62	75	57	54	59	48	70	73
