Cluster	sample	Change	ID	Description	GeneRatio	BgRatio	pvalue	FDR	qvalue	geneID	Count
Gpdh.downregulated	Gpdh	downregulated	GO:0042302	structural constituent of cuticle	74/288	142/12054	4.04582031932759e-84	9.70996876638621e-82	8.64527920866842e-82	Ccp84Ac/Twdlbeta/Cpr30F/Cpr64Ad/Cpr62Bb/frm/TwdlS/Cpr64Ab/Cpr31A/Cpr65Ea/Cpr67Fa1/Cpr78Cb/Cpr66D/Cpr65Aw/Cpr67Fa2/Ccp84Aa/Cpr56F/CG8736/Cpr76Ba/Lcp65Ad/Cpr51A/Lcp65Aa/Lcp65Ag3/Cpr97Ea/Cpr97Eb/Lcp65Ag2/Cpr62Bc/Ccp84Af/Lcp65Ag1/Cpr47Ee/Cpr65Ec/Cpr78Ca/Cpr5C/Cpr47Ec/Lcp65Af/Lcp65Ac/Cpr65Av/TwdlY/Ccp84Ag/Lcp4/Ccp84Ab/Cpr78Cc/TwdlD/Ccp84Ad/Twdlalpha/TwdlM/Cpr64Ac/Edg91/Lcp65Ae/Cpr60D/TwdlC/Cpr50Cb/Cpr67Fb/Edg78E/TwdlB/TwdlJ/TwdlL/TwdlK/Cpr100A/Cpr65Au/Lcp1/Cpr49Af/Cpr47Eg/CG15515/Ccp84Ae/Cpr76Bb/Cpr49Ae/Acp65Aa/TwdlN/TwdlP/Lcp2/Lcp9/CG15754/Lcp3	74
Gpdh.downregulated	Gpdh	downregulated	GO:0005214	structural constituent of chitin-based cuticle	71/288	135/12054	5.54426610041439e-81	6.65311932049727e-79	5.92361062307432e-79	Ccp84Ac/Twdlbeta/Cpr30F/Cpr64Ad/Cpr62Bb/TwdlS/Cpr64Ab/Cpr31A/Cpr65Ea/Cpr67Fa1/Cpr78Cb/Cpr66D/Cpr65Aw/Cpr67Fa2/Ccp84Aa/Cpr56F/Cpr76Ba/Lcp65Ad/Cpr51A/Lcp65Aa/Lcp65Ag3/Cpr97Ea/Cpr97Eb/Lcp65Ag2/Cpr62Bc/Ccp84Af/Lcp65Ag1/Cpr47Ee/Cpr65Ec/Cpr78Ca/Cpr5C/Cpr47Ec/Lcp65Af/Lcp65Ac/Cpr65Av/TwdlY/Ccp84Ag/Lcp4/Ccp84Ab/Cpr78Cc/TwdlD/Ccp84Ad/Twdlalpha/TwdlM/Cpr64Ac/Edg91/Lcp65Ae/Cpr60D/TwdlC/Cpr50Cb/Cpr67Fb/Edg78E/TwdlB/TwdlJ/TwdlL/TwdlK/Cpr100A/Cpr65Au/Lcp1/Cpr49Af/Cpr47Eg/CG15515/Ccp84Ae/Cpr76Bb/Cpr49Ae/Acp65Aa/TwdlN/TwdlP/Lcp2/Lcp9/Lcp3	71
Gpdh.downregulated	Gpdh	downregulated	GO:0008010	structural constituent of chitin-based larval cuticle	58/288	106/12054	3.29782331456867e-67	2.63825865165494e-65	2.34897590476295e-65	Ccp84Ac/Cpr30F/Cpr64Ad/Cpr62Bb/Cpr64Ab/Cpr31A/Cpr65Ea/Cpr67Fa1/Cpr78Cb/Cpr66D/Cpr65Aw/Cpr67Fa2/Ccp84Aa/Cpr56F/Cpr76Ba/Lcp65Ad/Cpr51A/Lcp65Aa/Lcp65Ag3/Cpr97Ea/Cpr97Eb/Lcp65Ag2/Cpr62Bc/Ccp84Af/Lcp65Ag1/Cpr47Ee/Cpr65Ec/Cpr78Ca/Cpr5C/Cpr47Ec/Lcp65Af/Lcp65Ac/Cpr65Av/Ccp84Ag/Lcp4/Ccp84Ab/Cpr78Cc/TwdlD/Ccp84Ad/Cpr64Ac/Lcp65Ae/Cpr60D/Cpr50Cb/Cpr67Fb/Edg78E/Cpr100A/Cpr65Au/Lcp1/Cpr49Af/Cpr47Eg/CG15515/Ccp84Ae/Cpr76Bb/Cpr49Ae/Acp65Aa/Lcp2/Lcp9/Lcp3	58
Gpdh.downregulated	Gpdh	downregulated	GO:0004252	serine-type endopeptidase activity	21/288	243/12054	3.62543538542044e-07	2.17526123125227e-05	1.93674574536934e-05	teq/CG30091/CG14642/CG33461/CG42694/CG43125/CG11192/CG18563/CG14892/CG30288/CG17404/SPH93/CG11668/CG33465/CG18179/CG33459/CG33226/CG12951/CG34436/Try29F/CG3650	21
Gpdh.downregulated	Gpdh	downregulated	GO:0008236	serine-type peptidase activity	21/288	266/12054	1.59774831487528e-06	6.78888498811647e-05	6.04448970433177e-05	teq/CG30091/CG14642/CG33461/CG42694/CG43125/CG11192/CG18563/CG14892/CG30288/CG17404/SPH93/CG11668/CG33465/CG18179/CG33459/CG33226/CG12951/CG34436/Try29F/CG3650	21
Gpdh.downregulated	Gpdh	downregulated	GO:0017171	serine hydrolase activity	21/288	267/12054	1.69722124702912e-06	6.78888498811647e-05	6.04448970433177e-05	teq/CG30091/CG14642/CG33461/CG42694/CG43125/CG11192/CG18563/CG14892/CG30288/CG17404/SPH93/CG11668/CG33465/CG18179/CG33459/CG33226/CG12951/CG34436/Try29F/CG3650	21
Gpdh.downregulated	Gpdh	downregulated	GO:0004175	endopeptidase activity	26/288	403/12054	4.13199540919185e-06	0.000141668414029435	0.000126134596701646	CG6974/teq/CG30091/CG14642/CG33461/CG15254/CG14529/CG42694/CG43125/CG11192/CG18563/CG14527/CG14892/CG30288/CG17404/SPH93/CG11668/CG33465/CG3775/CG18179/CG33459/CG33226/CG12951/CG34436/Try29F/CG3650	26
Gpdh.downregulated	Gpdh	downregulated	GO:0016620	oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor	6/288	33/12054	0.000113558849106768	0.00340676547320304	0.00303321662745709	CG8303/CG31075/CG12268/CG1441/CG8665/CG14893	6
Gpdh.downregulated	Gpdh	downregulated	GO:0080019	fatty-acyl-CoA reductase (alcohol-forming) activity	4/288	17/12054	0.00059397952625609	0.0157639722268996	0.0140354665002659	CG8303/CG12268/CG1441/CG14893	4
Gpdh.downregulated	Gpdh	downregulated	GO:0016903	oxidoreductase activity, acting on the aldehyde or oxo group of donors	6/288	45/12054	0.000656832176120817	0.0157639722268996	0.0140354665002659	CG8303/CG31075/CG12268/CG1441/CG8665/CG14893	6
