Cluster	sample	Change	ID	Description	GeneRatio	BgRatio	pvalue	FDR	qvalue	geneID	Count
Gpdh.downregulated	Gpdh	downregulated	dme00350	Tyrosine metabolism	6/59	27/3579	3.50743840079464e-06	0.000210446304047679	0.000173525899828788	B5X0J4/P18459/P05031/F0JAJ6/Q9W1V6/S0AT10	6
Gpdh.downregulated	Gpdh	downregulated	dme00380	Tryptophan metabolism	5/59	24/3579	3.42855623192719e-05	0.00102856686957816	0.00084811654158199	A0A0B4K6I6/Q9VMC9/X2J8X6/P05031/F0JAJ6	5
Gpdh.downregulated	Gpdh	downregulated	dme04142	Lysosome	8/59	122/3579	0.000746601869440984	0.0149320373888197	0.0123123817065706	Q9VED8/Q9VLI0/Q9VLL5/Q9VA41/Q9VA42/Q9VLI1/Q9VLI2/Q9Y168	8
Gpdh.upregulated	Gpdh	upregulated	dme00980	Metabolism of xenobiotics by cytochrome P450	16/85	70/3579	2.14621377668563e-12	1.20187971494396e-10	8.58485510674254e-11	Q9VG30/Q9VG29/Q9VG95/Q9W2J3/Q9VG98/Q7K8X7/Q9VGT2/Q9VJ46/M9PG29/Q9VGT8/A1ZB73/A1ZB68/Q9VGT5/Q9VQT0/Q9VGA0/Q9VJI0	16
Gpdh.upregulated	Gpdh	upregulated	dme00982	Drug metabolism - cytochrome P450	15/85	69/3579	2.47272270236561e-11	6.92362356662372e-10	4.94544540473123e-10	Q9VG30/Q9VG29/Q9VG95/Q9W2J3/Q9VG98/Q7K8X7/Q9VGT2/Q9VJ46/Q9VGT8/A1ZB73/A1ZB68/Q9VGT5/Q9VQT0/Q9VGA0/Q9VJI0	15
Gpdh.upregulated	Gpdh	upregulated	dme00983	Drug metabolism - other enzymes	15/85	100/3579	6.16512196509448e-09	1.15082276681764e-07	8.22016262012597e-08	Q9VG30/Q9VG29/Q9VG95/Q9W2J3/Q9VG98/Q7K8X7/Q9VGT2/Q9VJ46/Q9VGT8/A1ZB73/A1ZB68/Q9VGT5/Q9VQT0/Q9VGA0/Q9VJI0	15
Gpdh.upregulated	Gpdh	upregulated	dme00053	Ascorbate and aldarate metabolism	9/85	33/3579	3.79621112954179e-08	5.31469558135851e-07	3.79621112954179e-07	Q9VG30/Q9VG29/Q9W2J3/Q9VGT2/Q9VJ46/Q9VGT8/Q9VGT5/Q9VQT0/Q9VJI0	9
Gpdh.upregulated	Gpdh	upregulated	dme00830	Retinol metabolism	9/85	34/3579	5.06381414082111e-08	5.67147183771965e-07	4.05105131265689e-07	Q9VG30/Q9VG29/Q9W2J3/Q9VGT2/Q9VJ46/Q9VGT8/Q9VGT5/Q9VQT0/Q9VJI0	9
Gpdh.upregulated	Gpdh	upregulated	dme00860	Porphyrin and chlorophyll metabolism	10/85	47/3579	8.44822195733786e-08	7.885007160182e-07	5.63214797155857e-07	Q9VG30/Q9VG29/Q9W2J3/Q9VGT2/Q9VJ46/Q9VGT8/Q9VGT5/Q9VQT0/O18680/Q9VJI0	10
Gpdh.upregulated	Gpdh	upregulated	dme00040	Pentose and glucuronate interconversions	10/85	50/3579	1.58144082842183e-07	1.26515266273746e-06	9.03680473383901e-07	Q9VG30/Q9VG29/Q9W2J3/Q9VGT2/Q9VJ46/M9PG29/Q9VGT8/Q9VGT5/Q9VQT0/Q9VJI0	10
