Cluster	sample	Change	ID	Description	GeneRatio	BgRatio	pvalue	FDR	qvalue	geneID	Count
Gpdh.downregulated	Gpdh	downregulated	D000014	Abnormalities, Drug-Induced	21/371	86/12262	6.79303307985383e-14	9.51024631179536e-12	9.08121264359406e-12	32858/39223/39224/34627/33806/38826/36029/36191/38839/43663/35820/40355/246492/32414/35817/36352/44121/35818/37963/42023/35819	21
Gpdh.downregulated	Gpdh	downregulated	D018149	Glucose Intolerance	39/371	404/12262	1.23995222870647e-10	8.67966560094528e-09	8.2881017392485e-09	5740714/34816/48228/34205/38240/34915/38746/43408/41821/32893/37813/40836/35706/39872/38127/34704/35049/34627/37485/34204/34203/42833/36029/41586/40964/42659/42658/37026/39124/38414/318591/32102/37266/38125/44121/5740743/43497/33274/32199	39
Gpdh.downregulated	Gpdh	downregulated	D003924	Diabetes Mellitus, Type 2	41/371	459/12262	4.39426415481938e-10	2.05065660558238e-08	1.95814578127039e-08	5740714/34816/2768992/48228/34205/38240/34915/38746/43408/41821/32893/37813/36853/40836/35706/39872/38127/34704/35049/34627/37485/34204/34203/42833/36029/41586/40964/42659/42658/37026/39124/38414/318591/32102/37266/38125/44121/5740743/43497/33274/32199	41
Gpdh.downregulated	Gpdh	downregulated	D011552	Pseudomonas Infections	15/371	185/12262	0.000500401252582781	0.0148300372314268	0.0141610129954226	33571/34816/42017/42852/40836/38127/35841/38241/38839/40824/38125/36351/38710/44121/34226	15
Gpdh.downregulated	Gpdh	downregulated	D020191	Myoclonic Epilepsies, Progressive	15/371	186/12262	0.000529644186836671	0.0148300372314268	0.0141610129954226	26067068/41786/37704/38772/38075/32880/35814/35841/38923/33907/38241/37026/31167/39793/34053	15
Gpdh.downregulated	Gpdh	downregulated	D016905	Gram-Negative Bacterial Infections	17/371	233/12262	0.000730508473997682	0.0148859438518391	0.0142143975126584	42852/36853/39223/35050/39224/35814/35049/39801/318906/38408/39802/44121/40418/38919/50270/40417/42119	17
Gpdh.downregulated	Gpdh	downregulated	D004756	Enterobacteriaceae Infections	20/371	298/12262	0.000744297192591957	0.0148859438518391	0.0142143975126584	34816/5740331/43408/42969/38127/35190/34203/35152/39798/40112/38837/2768847/43488/38125/44121/50270/42336/34226/43497/33274	20
Gpdh.downregulated	Gpdh	downregulated	D018901	Peroxisomal Disorders	6/371	38/12262	0.000895893338323405	0.0156781334206596	0.0149708492061937	42657/246492/43205/39802/42119/38015	6
Gpdh.downregulated	Gpdh	downregulated	D028361	Mitochondrial Diseases	25/371	441/12262	0.00195264952280943	0.0303745481325912	0.0290042677657074	33571/42352/35372/39048/34816/34205/38746/39909/43648/38107/38075/42655/34203/35152/34060/44008/3885650/42658/39124/39225/35817/43497/33274/38015/32199	25
Gpdh.upregulated	Gpdh	upregulated	D003924	Diabetes Mellitus, Type 2	43/327	459/12262	4.78622465808599e-13	7.89727068584189e-11	6.49918927255888e-11	36481/38409/318955/36883/37624/43246/39092/36666/41135/35835/31854/38619/41661/39462/37057/33569/43622/48335/326160/31909/39463/318741/43066/36434/3346221/33524/34471/49080/50305/47901/3885597/33229/34817/43621/37059/39151/32127/42549/36661/35710/40067/53513/36394	43
Gpdh.upregulated	Gpdh	upregulated	D018149	Glucose Intolerance	39/327	404/12262	2.53289212017089e-12	2.08963599914099e-10	1.71970043948445e-10	36481/38409/318955/36883/37624/43246/39092/36666/41135/35835/31854/38619/41661/39462/37057/43622/48335/326160/31909/39463/318741/43066/36434/3346221/34471/49080/50305/47901/3885597/33229/34817/43621/37059/32127/36661/35710/40067/53513/36394	39
Gpdh.upregulated	Gpdh	upregulated	D018354	Alphavirus Infections	15/327	91/12262	1.56292859355169e-08	8.59610726453432e-07	7.07430837081294e-07	37183/317900/37184/43599/36484/41135/42122/35835/36994/35834/36434/38310/53543/37058/43561	15
Gpdh.upregulated	Gpdh	upregulated	D018805	Sepsis	15/327	124/12262	1.0265058305216e-06	4.23433655090162e-05	3.48471716150755e-05	37183/37184/43599/37313/36484/36635/42122/33569/35834/36434/36433/33229/37059/35837/34227	15
Gpdh.upregulated	Gpdh	upregulated	D004756	Enterobacteriaceae Infections	23/327	298/12262	4.90855776285484e-06	0.00016198240617421	0.000133306095033321	37183/317900/37184/43599/36484/33830/5740656/36635/41574/42122/36266/35543/43622/34176/33524/40437/33229/43621/318735/53543/49808/43744/39959	23
Gpdh.upregulated	Gpdh	upregulated	D016905	Gram-Negative Bacterial Infections	19/327	233/12262	1.53575048840602e-05	0.000422331384311655	0.000347564584218204	37183/317900/37184/43599/37313/36484/36883/36635/48338/42122/37421/37578/33569/5740319/36437/31824/47905/36661/37276	19
Gpdh.upregulated	Gpdh	upregulated	D014406	Tularemia	5/327	16/12262	4.48528300536796e-05	0.00105724527983673	0.000870077455176642	37183/43599/36484/36635/42122	5
Gpdh.upregulated	Gpdh	upregulated	D007239	Infection	12/327	144/12262	0.00047017772401877	0.00969741555788713	0.00798064821031859	37183/37184/43599/36484/36635/42122/33569/48335/40245/38499/2768666/41502	12
Gpdh.upregulated	Gpdh	upregulated	D064806	Dysbiosis	7/327	56/12262	0.000679110766418521	0.0124503640510062	0.0102462326161391	37183/37184/36666/42122/33569/48335/42549	7
Gpdh.upregulated	Gpdh	upregulated	D003715	Dengue	3/327	10/12262	0.00196166603590795	0.0302533003922837	0.0248974529544153	37183/37184/43599	3
Gpdh.upregulated	Gpdh	upregulated	D002771	Cholera	4/327	21/12262	0.00207496226138812	0.0302533003922837	0.0248974529544153	37183/317900/36635/43059	4
Gpdh.upregulated	Gpdh	upregulated	D004266	DNA Virus Infections	5/327	35/12262	0.00220024002852972	0.0302533003922837	0.0248974529544153	37183/37184/36484/41135/37058	5
Gpdh.upregulated	Gpdh	upregulated	D060467	Disease Resistance	18/327	321/12262	0.00244388175748033	0.031018499229558	0.0255271859688228	37183/36484/38409/36883/36635/41574/12798252/39356/37421/38847/37080/42293/40019/318682/38543/40398/31457/35246	18
Gpdh.upregulated	Gpdh	upregulated	D004198	Disease Susceptibility	10/327	131/12262	0.00264514497458736	0.0311749229147796	0.0256559174226894	37183/37313/36635/38639/35829/33569/326270/42549/43744/35246	10
Gpdh.upregulated	Gpdh	upregulated	D063647	Fetal Alcohol Spectrum Disorders	5/327	38/12262	0.00318750389379732	0.0350625428317705	0.0288552984070073	31551/318189/326238/47611/42549	5
Gpdh.upregulated	Gpdh	upregulated	D011008	Pneumococcal Infections	3/327	12/12262	0.00345659168188031	0.0356461017193907	0.0293355478264842	37183/37184/33229	3
Gpdh_Ldh.downregulated	Gpdh_Ldh	downregulated	D018149	Glucose Intolerance	27/276	404/12262	4.26371540867978e-07	5.58546718537052e-05	5.34086456455678e-05	35910/40069/38783/36458/37026/41722/35002/318591/40836/40072/41454/41820/37358/34472/34704/32051/41821/40235/32102/40964/34915/33824/41333/5740743/43497/33274/32199	27
Gpdh_Ldh.downregulated	Gpdh_Ldh	downregulated	D003924	Diabetes Mellitus, Type 2	28/276	459/12262	1.60455828873804e-06	0.000105098567912342	0.000100496019136751	35910/40069/38783/36458/37026/41722/35002/318591/40836/40072/41454/41820/37358/34472/34704/32051/41821/2768992/40235/32102/40964/34915/33824/41333/5740743/43497/33274/32199	28
Gpdh_Ldh.downregulated	Gpdh_Ldh	downregulated	D020388	Muscular Dystrophy, Duchenne	6/276	39/12262	0.000215149641656224	0.0093948676856551	0.00898344117792653	31862/39297/35332/44008/43497/33274	6
Gpdh_Ldh.downregulated	Gpdh_Ldh	downregulated	D002908	Chronic Disease	5/276	36/12262	0.00118600054381466	0.0388415178099303	0.037140543345775	31862/35332/44008/43497/33274	5
