Cluster	sample	Change	ID	Description	GeneRatio	BgRatio	pvalue	FDR	qvalue	geneID	Count
Gpdh.downregulated	Gpdh	downregulated	R-DME-556833	Metabolism of lipids	25/64	387/4000	2.38954655510708e-10	3.6799016948649e-08	3.06868083919014e-08	Fatp1/CG8303/Cerk/CG3009/Fatp2/CG9701/CG14507/Cyp4aa1/CG34447/firl/CG5326/CG42269/CG13833/CG12268/bond/CG1441/Cyp4c3/CG33110/CG9265/sit/CG34448/Alp7/CG17751/CG14893/CG31683	25
Gpdh.downregulated	Gpdh	downregulated	R-DME-2453902	The canonical retinoid cycle in rods (twilight vision)	4/64	16/4000	9.39401423490516e-05	0.00555446449727632	0.00463188426977246	CG2070/firl/CG13833/CG9265	4
Gpdh.downregulated	Gpdh	downregulated	R-DME-5365859	RA biosynthesis pathway	4/64	17/4000	0.00012137465034228	0.00555446449727632	0.00463188426977246	CG2070/firl/CG13833/CG9265	4
Gpdh.downregulated	Gpdh	downregulated	R-DME-8957322	Metabolism of steroids	7/64	76/4000	0.000176387411649542	0.00555446449727632	0.00463188426977246	Fatp1/Fatp2/Cyp4aa1/firl/CG13833/Cyp4c3/CG9265	7
Gpdh.downregulated	Gpdh	downregulated	R-DME-8848584	Wax biosynthesis	4/64	19/4000	0.000192966670058727	0.00555446449727632	0.00463188426977246	CG8303/CG12268/CG1441/CG14893	4
Gpdh.downregulated	Gpdh	downregulated	R-DME-8978868	Fatty acid metabolism	8/64	108/4000	0.000274355711967841	0.00555446449727632	0.00463188426977246	Fatp1/Fatp2/CG5326/CG42269/bond/CG33110/sit/CG17751	8
Gpdh.downregulated	Gpdh	downregulated	R-DME-193144	Estrogen biosynthesis	5/64	39/4000	0.000338872027678018	0.00555446449727632	0.00463188426977246	Cyp4aa1/firl/CG13833/Cyp4c3/CG9265	5
Gpdh.downregulated	Gpdh	downregulated	R-DME-71291	Metabolism of amino acids and derivatives	9/64	144/4000	0.000401670785245687	0.00555446449727632	0.00463188426977246	SpdS/CG11241/ple/Ddc/CG4991/Sardh/CG11236/Iyd/b	9
Gpdh.downregulated	Gpdh	downregulated	R-DME-5362517	Signaling by Retinoic Acid	4/64	23/4000	0.000420148383507417	0.00555446449727632	0.00463188426977246	CG2070/firl/CG13833/CG9265	4
Gpdh.downregulated	Gpdh	downregulated	R-DME-75876	Synthesis of very long-chain fatty acyl-CoAs	4/64	23/4000	0.000420148383507417	0.00555446449727632	0.00463188426977246	CG5326/bond/CG33110/sit	4
Gpdh.downregulated	Gpdh	downregulated	R-DME-196071	Metabolism of steroid hormones	5/64	41/4000	0.000430341940828239	0.00555446449727632	0.00463188426977246	Cyp4aa1/firl/CG13833/Cyp4c3/CG9265	5
Gpdh.downregulated	Gpdh	downregulated	R-DME-2187335	The retinoid cycle in cones (daylight vision)	3/64	10/4000	0.000432815415372181	0.00555446449727632	0.00463188426977246	firl/CG13833/CG9265	3
Gpdh.downregulated	Gpdh	downregulated	R-DME-75105	Fatty acyl-CoA biosynthesis	4/64	31/4000	0.00135630589544842	0.0160670082999275	0.0133983254449156	CG5326/bond/CG33110/sit	4
Gpdh.downregulated	Gpdh	downregulated	R-DME-174824	Plasma lipoprotein assembly, remodeling, and clearance	3/64	20/4000	0.00366749617595646	0.040342457935521	0.0336416942456156	Npc2g/CG5665/CG31683	3
Gpdh.downregulated	Gpdh	downregulated	R-DME-209776	Amine-derived hormones	3/64	21/4000	0.00423026518509196	0.0434307225669441	0.036217007198682	ple/Ddc/Iyd	3
Gpdh.upregulated	Gpdh	upregulated	R-DME-196849	Metabolism of water-soluble vitamins and cofactors	12/82	88/4000	1.41849650001562e-07	2.66677342002937e-05	2.29945748423585e-05	vanin-like/CG32751/CG11912/FASN1/CG32750/Amnionless/CG30345/CG3690/CG15221/Smvt/CG31262/Nmdmc	12
Gpdh.upregulated	Gpdh	upregulated	R-DME-199220	Vitamin B5 (pantothenate) metabolism	6/82	22/4000	3.54430643501186e-06	0.000333164804891114	0.000287275363679908	vanin-like/CG32751/FASN1/CG32750/Smvt/CG31262	6
Gpdh.upregulated	Gpdh	upregulated	R-DME-196854	Metabolism of vitamins and cofactors	12/82	126/4000	7.17673878544697e-06	0.000449742297221344	0.000387795709810117	vanin-like/CG32751/CG11912/FASN1/CG32750/Amnionless/CG30345/CG3690/CG15221/Smvt/CG31262/Nmdmc	12
Gpdh.upregulated	Gpdh	upregulated	R-DME-1483206	Glycerophospholipid biosynthesis	10/82	102/4000	3.46328005190804e-05	0.00162774162439678	0.0014035398105101	CG6296/phu/Agpat2/CG1946/Gpo1/CG8745/CG1882/Alp9/oys/Alp4	10
Gpdh.upregulated	Gpdh	upregulated	R-DME-556833	Metabolism of lipids	20/82	387/4000	6.86951613459884e-05	0.00258293806660916	0.0022271694415331	CG6296/phu/Cyp4p1/Agpat2/CG1946/FASN1/Gpo1/CG8745/CG1882/Ugt302C1/Alp9/CG11425/Ugt302K1/oys/fa2h/Ugt36A1/Alp4/bgm/Cyp4ad1/CG11426	20
Gpdh.upregulated	Gpdh	upregulated	R-DME-1483257	Phospholipid metabolism	10/82	130/4000	0.000271690101120203	0.00851295650176636	0.00734039922324759	CG6296/phu/Agpat2/CG1946/Gpo1/CG8745/CG1882/Alp9/oys/Alp4	10
Gpdh.upregulated	Gpdh	upregulated	R-DME-382551	Transport of small molecules	18/82	375/4000	0.00043541849752025	0.0112161021306953	0.00967121908245839	CG6484/Eglp3/CG31793/Vha100-4/E23/l(2)03659/CG30345/CG10505/CG3690/Mal-A6/CG15221/Mec2/CG17167/Smvt/Atet/NAAT1/CG31262/CG14606	18
Gpdh.upregulated	Gpdh	upregulated	R-DME-428157	Sphingolipid metabolism	6/82	50/4000	0.000477280941731713	0.0112161021306953	0.00967121908245839	Ugt302C1/CG11425/Ugt302K1/fa2h/Ugt36A1/CG11426	6
Gpdh.upregulated	Gpdh	upregulated	R-DME-1483166	Synthesis of PA	6/82	55/4000	0.000802471670357595	0.0167627415585809	0.0144538757000081	CG6296/phu/Agpat2/Gpo1/Alp9/Alp4	6
Gpdh.upregulated	Gpdh	upregulated	R-DME-6798695	Neutrophil degranulation	18/82	402/4000	0.00100536195987307	0.0189008048456137	0.0162974465074161	Bace/vanin-like/CG32751/Pgcl/CG18278/Agpat2/Nepl7/Nepl4/lectin-37Db/CG32750/Vha100-4/Toll-9/Ag5r2/CG17974/Spn42Dd/CG14500/Mec2/Itgbn	18
Gpdh_Ldh.downregulated	Gpdh_Ldh	downregulated	R-DME-1483206	Glycerophospholipid biosynthesis	8/47	102/4000	1.87408204396171e-05	0.00274680885894132	0.00256799997200193	CG13282/Alp1/CG14507/dob/Gpdh1/CG31683/Alp8/Alp7	8
Gpdh_Ldh.downregulated	Gpdh_Ldh	downregulated	R-DME-3000178	ECM proteoglycans	5/47	35/4000	4.49358531397382e-05	0.00274680885894132	0.00256799997200193	Spn100A/Spn42Db/CG11409/CG43366/Spn77Bb	5
Gpdh_Ldh.downregulated	Gpdh_Ldh	downregulated	R-DME-1474244	Extracellular matrix organization	6/47	62/4000	7.09754796978601e-05	0.00274680885894132	0.00256799997200193	Spn100A/Spn42Db/CG11409/CG43366/Spn77Bb/ItgaPS5	6
Gpdh_Ldh.downregulated	Gpdh_Ldh	downregulated	R-DME-381426	Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs)	6/47	65/4000	9.28664002126304e-05	0.00274680885894132	0.00256799997200193	Spn100A/Spn42Db/CG43366/dob/CG33459/Spn77Bb	6
Gpdh_Ldh.downregulated	Gpdh_Ldh	downregulated	R-DME-8957275	Post-translational protein phosphorylation	6/47	65/4000	9.28664002126304e-05	0.00274680885894132	0.00256799997200193	Spn100A/Spn42Db/CG43366/dob/CG33459/Spn77Bb	6
Gpdh_Ldh.downregulated	Gpdh_Ldh	downregulated	R-DME-1483257	Phospholipid metabolism	8/47	130/4000	0.000108426665484526	0.00274680885894132	0.00256799997200193	CG13282/Alp1/CG14507/dob/Gpdh1/CG31683/Alp8/Alp7	8
Gpdh_Ldh.downregulated	Gpdh_Ldh	downregulated	R-DME-1483166	Synthesis of PA	5/47	55/4000	0.000403970721695955	0.00877193567111216	0.00820090938781262	CG13282/Alp1/Gpdh1/Alp8/Alp7	5
Gpdh_Ldh.downregulated	Gpdh_Ldh	downregulated	R-DME-8935690	Digestion	4/47	33/4000	0.000533612758462281	0.0101386424107833	0.00947864768321156	CG6847/Alp1/Alp8/Alp7	4
Gpdh_Ldh.downregulated	Gpdh_Ldh	downregulated	R-DME-8963743	Digestion and absorption	4/47	39/4000	0.00101864532724472	0.0172037877490219	0.0160838735880745	CG6847/Alp1/Alp8/Alp7	4
Gpdh_Ldh.downregulated	Gpdh_Ldh	downregulated	R-DME-556833	Metabolism of lipids	12/47	387/4000	0.00128386235684965	0.0195147078241147	0.0182443598078634	CG13282/CG5065/CG17751/CG9459/Alp1/CG14507/dob/eloF/Gpdh1/CG31683/Alp8/Alp7	12
Gpdh_Ldh.downregulated	Gpdh_Ldh	downregulated	R-DME-174824	Plasma lipoprotein assembly, remodeling, and clearance	3/47	20/4000	0.00150691498209944	0.0208228252071922	0.0194673227352559	CG1986/Npc2g/CG31683	3
Gpdh_Ldh.upregulated	Gpdh_Ldh	upregulated	R-DME-556833	Metabolism of lipids	41/149	387/4000	1.79992546080104e-10	5.29178085475507e-08	4.67980619808272e-08	phu/Cyp4e3/CG10163/CG6296/Alp9/Gal/Alp10/CG6271/CG11426/CG1946/Cyp4p1/CG7365/CG33178/CG9265/CG42269/Cyp4d8/Ugt304A1/Ugt302K1/Alp12/CG10116/Cyp4ae1/Agpat2/CG8745/Alp5/Cyp4ac3/Cyp311a1/fa2h/bwa/Mdr49/oys/Ugt302C1/Desat1/CG5009/CG1882/Cyp4p2/CG11029/Alp4/Alp6/Ugt302E1/CG12766/Cyp4d2	41
Gpdh_Ldh.upregulated	Gpdh_Ldh	upregulated	R-DME-1483206	Glycerophospholipid biosynthesis	18/149	102/4000	2.12168235656061e-08	3.1188730641441e-06	2.75818706352879e-06	phu/CG10163/CG6296/Alp9/Alp10/CG6271/CG1946/CG7365/Alp12/CG10116/Agpat2/CG8745/Alp5/oys/CG1882/CG11029/Alp4/Alp6	18
Gpdh_Ldh.upregulated	Gpdh_Ldh	upregulated	R-DME-1483166	Synthesis of PA	12/149	55/4000	5.04990413049226e-07	4.94890604788241e-05	4.37658357975996e-05	phu/CG10163/CG6296/Alp9/Alp10/CG6271/Alp12/CG10116/Agpat2/Alp5/Alp4/Alp6	12
Gpdh_Ldh.upregulated	Gpdh_Ldh	upregulated	R-DME-193144	Estrogen biosynthesis	10/149	39/4000	9.55875580751547e-07	5.73679107514038e-05	5.07335265148469e-05	Cyp4e3/Cyp4p1/CG9265/Cyp4d8/Cyp4ae1/Cyp4ac3/Cyp311a1/Cyp4p2/CG12766/Cyp4d2	10
Gpdh_Ldh.upregulated	Gpdh_Ldh	upregulated	R-DME-1483257	Phospholipid metabolism	18/149	130/4000	9.75644740670133e-07	5.73679107514038e-05	5.07335265148469e-05	phu/CG10163/CG6296/Alp9/Alp10/CG6271/CG1946/CG7365/Alp12/CG10116/Agpat2/CG8745/Alp5/oys/CG1882/CG11029/Alp4/Alp6	18
Gpdh_Ldh.upregulated	Gpdh_Ldh	upregulated	R-DME-196071	Metabolism of steroid hormones	10/149	41/4000	1.58075372877565e-06	7.74569327100067e-05	6.84993282469447e-05	Cyp4e3/Cyp4p1/CG9265/Cyp4d8/Cyp4ae1/Cyp4ac3/Cyp311a1/Cyp4p2/CG12766/Cyp4d2	10
Gpdh_Ldh.upregulated	Gpdh_Ldh	upregulated	R-DME-211976	Endogenous sterols	8/149	25/4000	1.94065008004212e-06	8.15073033617691e-05	7.20812886872788e-05	Cyp4e3/Cyp4p1/Cyp4d8/Cyp4ae1/Cyp4ac3/Cyp311a1/Cyp4p2/Cyp4d2	8
Gpdh_Ldh.upregulated	Gpdh_Ldh	upregulated	R-DME-211897	Cytochrome P450 - arranged by substrate type	8/149	26/4000	2.71545379392572e-06	9.97929269267701e-05	8.82522483025858e-05	Cyp4e3/Cyp4p1/Cyp4d8/Cyp4ae1/Cyp4ac3/Cyp311a1/Cyp4p2/Cyp4d2	8
Gpdh_Ldh.upregulated	Gpdh_Ldh	upregulated	R-DME-382551	Transport of small molecules	32/149	375/4000	4.38880648739604e-06	0.00014336767858827	0.000126787742969219	CG15553/Mal-A6/CG11898/CG17167/Mec2/CG1208/CG6484/CG10505/CG42269/CG30345/CG34120/CG33181/CG14606/CG9903/CAH2/CG8908/CG4301/CG13794/CG8785/CG1139/CG31321/CG4797/CG3690/CG31272/Mdr49/CG31793/CG8034/CG8389/CG1698/NKCC/Nha1/CG15221	32
Gpdh_Ldh.upregulated	Gpdh_Ldh	upregulated	R-DME-8963743	Digestion and absorption	9/149	39/4000	8.83086195306006e-06	0.000259627341419966	0.000229602410779562	phu/Alp9/Npc1b/Alp10/Alp12/Cht4/Alp5/Alp4/Alp6	9
Gpdh_Ldh.upregulated	Gpdh_Ldh	upregulated	R-DME-196854	Metabolism of vitamins and cofactors	16/149	126/4000	1.28236581288412e-05	0.000342741408170847	0.000303104646681702	CG15553/CG32751/vanin-like/Amnionless/CG11912/CG32750/CG7365/CG2070/CG30345/Mthfs/CG31321/CG3690/CG31272/CG11029/CG12766/CG15221	16
