gene_id	gene_name	chr	start	end	strand	gene_biotype	logFC	logCPM	F	PValue	FDR	Change	JTEN001_Gpdh.het_1	JTEN002_Gpdh.het_2	JTEN003_Gpdh.het_3	JTEN004_Gpdh.mut_1	JTEN005_Gpdh.mut_2	JTEN006_Gpdh.mut_3
FBgn0004240	DptA	2R	18865765	18866260	+	protein_coding	9.53689248604236	3.79302006474268	15.8244982374943	0.00509847756377353	0.0187514003728138	upregulated	0	0.101766577147969	0	72.4343050545697	1.39934361319966	7.85485884825291
FBgn0052185	edin	3L	17494880	17495300	+	protein_coding	7.65959898614195	3.74530059336279	14.3956335825232	0.00648722043191401	0.0224265367856447	upregulated	0.182949531073591	0.152649865721954	0.0440777490871464	71.7852521418943	2.07781324384191	4.8371729630484
FBgn0033830	CG10814	2R	13375975	13377731	-	protein_coding	6.51394218824665	7.63664228104815	742.610384962469	1.69625478262349e-08	6.05821854785536e-05	upregulated	3.24735417655624	5.80069489743424	3.92291966875603	454.899551397067	330.245092715119	393.186719748705
FBgn0034407	DptB	2R	18867391	18867895	+	protein_coding	6.28175619540175	4.82462270678628	20.9524974730534	0.0024077702124035	0.0112116739868592	upregulated	0.0914747655367954	1.88268167723743	0.264466494522878	129.810582535071	6.86950501025286	29.4668151143499
FBgn0265375	lncRNA:CR44316	2R	12320594	12320912	-	ncRNA	5.89189612339208	1.40550496208571	182.498232534968	2.35194101302072e-06	0.000293161030053535	upregulated	0.0914747655367954	0.0508832885739846	0.0881554981742928	4.50010019454913	3.56196556087185	6.78979324171014
FBgn0000279	CecC	3R	30216484	30216938	+	protein_coding	5.84277388775615	0.718230213899836	27.2203737436503	0.00114519656890959	0.00689060127231701	upregulated	0	0.101766577147969	0.0440777490871464	2.98564339830663	0.76327833447254	5.28095029910789
FBgn0028514	CG4793	2L	15923395	15926287	+	protein_coding	5.26047019631611	3.04119460150078	385.41764148303	1.72562999289188e-07	0.000108004136025703	upregulated	0.365899062147182	0.407066308591877	0.440777490871464	19.0388854384771	11.5339837209184	16.5528946350188
FBgn0083945	CG34109	2L	10094088	10125736	+	protein_coding	4.95198662060188	-1.20656197333063	50.7711343868128	0.000170191476725312	0.00213290613940791	upregulated	0.0457373827683977	0	0	0.735593301032069	0.720873982557399	0.488155069665435
FBgn0034511	GNBP-like3	2R	20526311	20526825	+	protein_coding	4.89481478864368	3.54335220386196	14.8992137666937	0.00594794602090741	0.0210183147334622	upregulated	0.182949531073591	1.93356496581141	0.220388745435732	41.9720883530063	1.6537697246905	22.8989105406695
FBgn0000639	Fbp1	3L	14094589	14098053	-	protein_coding	4.79249207140523	-0.223292824914767	63.2456658643786	8.38739328819729e-05	0.00143264794198032	upregulated	0.0914747655367954	0.0508832885739846	0	1.99042893220442	1.31453490936937	1.02068787293682
FBgn0031747	CG9021	2L	5903178	5904689	-	protein_coding	4.74056189952461	1.78754529736033	424.236622925202	1.23044849358621e-07	9.35140855125518e-05	upregulated	0.228686913841988	0.203533154295938	0.264466494522878	7.48574359285577	5.25813963747749	6.3903936392566
FBgn0264987	lncRNA:CR44138	3R	13376903	13377395	+	ncRNA	4.71951339954288	3.93683684085076	693.642271471617	2.16079712377049e-08	6.05821854785536e-05	upregulated	1.18917195197834	0.814132617183753	1.27825472352725	27.6063838857918	25.8242503163209	34.0377216757626
FBgn0266700	asRNA:CR45190	3R	31588279	31590411	-	ncRNA	4.64593174495522	1.51121963144711	308.58189154805	3.77007444500399e-07	0.000158083020565235	upregulated	0.137212148305193	0.356183020017892	0.132233247261439	5.19242330140284	5.55497010088348	4.88155069665435
FBgn0039316	CG11893	3R	25289889	25291366	+	protein_coding	4.59323581124512	6.54890776382181	279.047612400992	5.36342360798781e-07	0.000167689563057978	upregulated	7.72961768785921	5.9533447631562	8.5510833229064	248.370914583769	140.019170023796	149.109184915987
FBgn0041579	AttC	2R	13393705	13394667	+	protein_coding	4.57506253724766	5.98992186324322	24.9900428212857	0.00146608865259184	0.00806993443537361	upregulated	2.14965699011469	11.1943234862766	2.24796520344447	244.087165360112	37.1886166295787	82.3650735726407
FBgn0031034	CG14205	X	19592609	19595548	+	protein_coding	4.52875952472568	4.34997172008798	37.280364347426	0.000447043602535522	0.00375386917269647	upregulated	0.503111210452375	4.12154637449275	0.573010738132903	39.5922276731967	57.5427055488465	18.7274035817103
FBgn0053337	CG33337	3R	23590141	23592769	-	protein_coding	4.47179651363095	-0.93610866851315	39.6798029805399	0.000368959173522482	0.00334104306917379	upregulated	0.0457373827683977	0	0.0440777490871464	1.211565436994	0.678469630642257	0.532532803271384
FBgn0039091	CG10182	3R	23587120	23589819	-	protein_coding	4.20740981707439	5.31728952155483	67.1433990002448	6.90025457484559e-05	0.0012948625868846	upregulated	1.37212148305193	8.19220946041152	2.86505369066452	67.2418817531668	94.1376612516132	64.0814473269898
FBgn0035434	Drsl5	3L	3316781	3317144	+	protein_coding	4.12128025997848	1.67337706325298	74.9133880887767	4.81456434339948e-05	0.00108302250769071	upregulated	0.137212148305193	0.305299731443907	0.528932989045757	8.61076864149305	4.11322213576869	4.57090656141271
FBgn0051810	CG31810	2L	16849018	16852368	-	protein_coding	4.10698002948316	-0.798812529009679	82.2886905389056	3.52741209652087e-05	0.0009333859434282	upregulated	0.0457373827683977	0.0508832885739846	0.0440777490871464	0.649052912675355	1.06010879787853	0.97631013933087
FBgn0041581	AttB	2R	14749223	14750165	+	protein_coding	4.08292588216455	4.79701248182189	8.90096553971342	0.0198840943904095	0.0515639201350127	unchanged	0.0914747655367954	9.46429167476113	0.0440777490871464	94.28575311464	6.57267454684687	55.0283896713763
FBgn0036324	CG12520	3L	12901247	12902737	-	protein_coding	4.02208140372735	-0.0577595574090512	67.7832788015533	6.68931315847254e-05	0.00128228915017039	upregulated	0	0.152649865721954	0.132233247261439	1.90388854384771	1.52655666894508	1.37570974178441
FBgn0032049	Bace	2L	8494893	8496307	-	protein_coding	3.72950622591281	3.77073060448694	165.922346284199	3.26776998415158e-06	0.000324601463113764	upregulated	1.18917195197834	2.90034744871712	1.63087671622442	20.9427739823248	30.6159420827319	23.5201988111528
FBgn0038082	CG5724	3R	12739642	12741417	+	protein_coding	3.56095197922928	5.83327611724814	569.283286410499	4.35218496866059e-08	6.80575891132002e-05	upregulated	11.0684466299522	7.78514315181964	7.75768383933777	113.930421271614	97.4027963490791	102.690075564165
FBgn0004429	LysP	3L	1218082	1218696	-	protein_coding	3.53754183292279	-0.935162257306549	38.8424013658047	0.000394065617239295	0.00349548272670808	upregulated	0.0914747655367954	0	0.0881554981742928	0.692323106853712	0.636065278727116	1.02068787293682
FBgn0086265	psd	2L	5963087	5964951	-	protein_coding	3.51439205017803	-1.25644801729144	48.0575610033473	0.000202618520593399	0.00235613230504237	upregulated	0.0457373827683977	0.0508832885739846	0.0440777490871464	0.43270194178357	0.76327833447254	0.576910536877332
FBgn0038873	CG5892	3R	21242618	21245418	+	protein_coding	3.51228684504512	1.97781450668062	160.237329231038	3.68487387066147e-06	0.000334588161489938	upregulated	0.777535507062761	0.508832885739846	0.528932989045757	5.36550407811627	9.11693566175533	6.43477137286255
FBgn0034160	CG5550	2R	16816589	16817577	+	protein_coding	3.50281424660995	3.83201754728328	41.8797009635046	0.000312096171162951	0.00301334234226297	upregulated	1.14343456920994	4.88479570310252	0.969710479917221	34.8757765077558	20.5661106788434	21.9226004013386
FBgn0265651	lncRNA:CR44458	2R	15371695	15372595	+	ncRNA	3.38473141513915	-0.797962553252003	32.5978620706156	0.000671768680410482	0.00491827761698242	upregulated	0	0.152649865721954	0.0881554981742928	1.12502504863728	0.805682686387681	0.665666004089229
FBgn0262881	CG43236	2R	14638538	14638935	+	protein_coding	3.31672379336618	1.95546508468098	12.7140015617037	0.00881282340659504	0.0279072741208843	upregulated	0.137212148305193	1.52649865721954	0.440777490871464	13.2839496127556	1.6537697246905	5.41408349992573
FBgn0261997	CG42815	3L	17791079	17791486	-	protein_coding	3.3005336308904	5.21082826882577	70.7540764451899	5.81125026624276e-05	0.00120402882741916	upregulated	2.65276820056707	7.88690972896761	9.82933804643365	69.924633792225	54.0231443398897	76.6403459374733
FBgn0040069	vanin-like	X	6200188	6202559	-	protein_coding	3.26580752073132	6.20047773209596	225.745409799753	1.12420362814624e-06	0.00022568918119766	upregulated	12.1661438163938	17.9109175780426	11.4602147626581	119.901708068227	164.571289782663	113.784508965652
FBgn0052751	CG32751	X	6196580	6198654	-	protein_coding	3.16242927152445	4.01961706948215	262.920870702142	6.60495318714822e-07	0.00018493868924015	upregulated	2.46981866949348	3.91801322019681	3.30583118153598	23.4957154388479	33.6266510687069	29.4224373807439
FBgn0034783	CG9825	2R	22837361	22839291	+	protein_coding	3.1575166718823	2.81586433637547	162.330855431115	3.52375874318809e-06	0.000331794628562135	upregulated	2.10391960734629	1.06854906005368	0.969710479917221	13.8031919428959	11.6611967766638	11.6713439383645
FBgn0085307	CG34278	3R	17120465	17120808	+	protein_coding	3.13173281638197	3.39332716568342	82.8884297182813	3.44325917286233e-05	0.00092642537429437	upregulated	1.14343456920994	1.52649865721954	3.614375425146	20.120640292936	15.9864406720082	19.6149582538293
FBgn0039470	CG6296	3R	27003236	27005469	-	protein_coding	3.13034178735277	6.30920126403523	78.8585081594813	4.0628654979623e-05	0.000991488277484377	upregulated	26.6648941539759	9.26075852046519	12.650313988011	148.416766031765	143.199496417431	134.065133223571
FBgn0034291	CG5770	2R	18044046	18045073	-	protein_coding	3.10621437770327	2.04174347094694	101.369853814926	1.75503876513905e-05	0.000682271408739227	upregulated	0.960485038136352	0.661482751461799	0.837477232655782	5.27896368975956	6.10622667578032	10.0293677949444
FBgn0010388	Dro	2R	14745961	14746714	+	protein_coding	3.09252514969062	3.68117287099018	9.2218110654669	0.0184232591048987	0.048822783779856	upregulated	0.137212148305193	6.2586444946001	1.76310996348586	47.7270241787278	6.82710065833771	13.1801868809667
FBgn0053926	CG33926	3L	9443232	9446388	+	protein_coding	3.04823390541581	1.99456549465085	229.919470992962	1.05471209502303e-06	0.00022568918119766	upregulated	0.731798124294363	0.865015905757738	0.881554981742928	7.57228398121248	5.34294834130778	7.67734791382911
FBgn0012042	AttA	2R	14747362	14748215	+	protein_coding	2.95296486745763	4.41388573966586	4.36546430358199	0.0741539207959739	0.138859154746421	unchanged	0.0914747655367954	14.5017372435856	0.308544243610025	69.924633792225	3.43475250512643	38.5642505035694
