gene_id	gene_name	chr	start	end	strand	gene_biotype	logFC	logCPM	F	PValue	FDR	Change	JTEN007_Gpdh.het_Ldh.het_1	JTEN008_Gpdh.het_Ldh.het_2	JTEN009_Gpdh.het_Ldh.het_3	JTEN010_Gpdh.mut_Ldh.mut_1	JTEN011_Gpdh.mut_Ldh.mut_2	JTEN012_Gpdh.mut_Ldh.mut_3
FBgn0035070	CG3650	2R	24848994	24850200	+	protein_coding	8.90164263885998	0.439921354605297	209.775325268609	5.80351389379546e-05	0.000508960088245388	upregulated	0	0	0	2.49181470393212	1.87852154358005	2.89271214396623
FBgn0085256	CG34227	2R	11248126	11248610	+	protein_coding	8.64639342541528	0.204374449665898	259.823575688313	3.6049133154208e-05	0.000371524656222579	upregulated	0	0	0	1.86886102794909	1.80184719486249	2.41059345330519
FBgn0037128	CG14572	3L	21741534	21742441	+	protein_coding	7.48814520112237	1.70550334957362	296.66993679714	1.1050454720468e-06	3.81704094021843e-05	upregulated	0	0.0831265352676768	0	6.11273294558348	5.29053006151115	6.89800588176562
FBgn0036176	CG7377	3L	11589695	11589979	+	protein_coding	6.94957726021573	0.441561093935427	277.035870885971	1.37554701105318e-06	4.34632316378649e-05	upregulated	0.0454406098637435	0	0	2.33607628493636	2.41524198460292	2.48476555956073
FBgn0033830	CG10814	2R	13375975	13377731	-	protein_coding	6.60105262904404	5.90943109616163	8056.75379639869	2.46797543319675e-11	1.32135404693354e-07	upregulated	1.18145585645733	1.28846129664899	1.21927757292174	115.596841499601	112.059560650704	123.68198718112
FBgn0033820	CG4716	2R	13256587	13257446	+	protein_coding	6.35721938268662	-0.0969828697935281	154.156842685345	8.83352694995768e-06	0.000145929687658352	upregulated	0	0	0.0468952912662206	1.63525339945545	1.34180110255718	1.81721660326084
FBgn0000639	Fbp1	3L	14094589	14098053	-	protein_coding	6.22282755304731	1.35445882650077	836.135450987817	3.91732518538118e-08	6.16863501250907e-06	upregulated	0.0454406098637435	0.0831265352676768	0.0468952912662206	4.86682559361742	4.33210070254174	4.89535901286592
FBgn0052189	CG32189	3L	17834745	17835174	-	protein_coding	6.14075944127839	0.44023566959948	223.674176325508	2.72098186553916e-06	6.57703697882467e-05	upregulated	0.0454406098637435	0.0415632676338384	0	1.94673023744697	2.49191633332047	2.74436793145514
FBgn0038527	CG14324	3R	17618281	17618799	-	protein_coding	6.10720713873163	1.24714242091819	735.105232256252	5.94415022002204e-08	7.44864476916416e-06	upregulated	0.0454406098637435	0.0415632676338384	0.0937905825324412	4.12706810338757	4.25542635382419	4.63575664097152
FBgn0085277	CG34248	3L	16270369	16270902	-	protein_coding	5.80877568102159	-0.580114641266842	124.497634834489	1.72503245378678e-05	0.000225576416787597	upregulated	0.0454406098637435	0	0	1.01229972347242	1.03510370768696	1.22383975321648
