Gene stable ID	Gene name	Chromosome/scaffold name	Gene start (bp)	Gene end (bp)	Strand	Gene type
FBgn0262374	mir-2b-1	2L	8258616	8258692	-1	pre_miRNA
FBgn0265984	lncRNA:CR44763	2R	22689495	22690295	1	ncRNA
FBgn0025637	SkpA	X	656114	657899	1	protein_coding
FBgn0029858	mldr	X	6291303	6294177	1	protein_coding
FBgn0044049	Ilp4	3L	9803399	9804263	-1	protein_coding
FBgn0038461	CG3678	3R	16990334	16991878	-1	protein_coding
FBgn0035721	CG9948	3L	6955991	6957440	1	protein_coding
FBgn0263473	snoRNA:abba-a	2R	18994696	18994842	1	snoRNA
FBgn0040383	CG5254	X	750347	758719	1	protein_coding
FBgn0032728	Tango6	2L	18969028	18972004	1	protein_coding
FBgn0039250	Mink	3R	24922473	24925160	1	protein_coding
FBgn0266167	asRNA:CR44873	2L	10004310	10005043	-1	ncRNA
FBgn0267440	lncRNA:CR45790	3R	9821390	9822259	1	ncRNA
FBgn0266535	lncRNA:CR45096	3L	13208543	13208958	-1	ncRNA
FBgn0030398	Cpr11B	X	12553124	12554235	1	protein_coding
FBgn0038223	Afti	3R	14320191	14326689	-1	protein_coding
FBgn0082969	snoRNA:Psi28S-3316d	2R	21330434	21330565	1	snoRNA
FBgn0031866	Nlg2	2L	6874900	6906656	1	protein_coding
FBgn0266246	lncRNA:CR44941	3R	12335924	12339275	1	ncRNA
FBgn0267627	lncRNA:CR45965	3L	22359458	22360868	-1	ncRNA
FBgn0266642	asRNA:CR45149	2R	21309395	21310146	-1	ncRNA
FBgn0036799	CG13380	3L	18600150	18617943	-1	protein_coding
FBgn0013683	mt:ND4L	mitochondrion_genome	9545	9835	-1	protein_coding
FBgn0035692	Sf3b6	3L	6192124	6193179	-1	protein_coding
FBgn0054025	CG34025	3L	2959722	2961049	-1	protein_coding
FBgn0267606	asRNA:CR45944	3L	21003707	21004201	1	ncRNA
FBgn0261856	CR42785	2R	7000154	7001696	1	pseudogene
FBgn0265532	asRNA:CR44382	X	2071710	2072189	1	ncRNA
FBgn0042106	CG18754	3R	23684057	23686537	1	protein_coding
FBgn0001124	Got1	2R	16138352	16141928	1	protein_coding
FBgn0266621	lncRNA:CR45128	2R	6663395	6664195	-1	ncRNA
FBgn0053252	CG33252	X	16896215	16897187	-1	protein_coding
FBgn0263832	Rcd5	3L	4040529	4042597	1	protein_coding
FBgn0011965	tRNA:Arg-TCG-4-1	3R	5388228	5388300	1	tRNA
FBgn0039719	CG15515	3R	29905464	29906448	1	protein_coding
FBgn0029718	mRpL30	X	4647871	4648646	1	protein_coding
FBgn0025832	Fen1	2R	16854025	16855464	-1	protein_coding
FBgn0050466	CG30466	2R	15568960	15573170	1	protein_coding
FBgn0038627	CG7694	3R	18573091	18590726	1	protein_coding
FBgn0086662	snoRNA:Psi28S-3186	3R	5598015	5598157	-1	snoRNA
FBgn0025866	CalpB	3L	9888762	9893319	1	protein_coding
FBgn0053012	CG33012	2R	12367353	12370886	1	protein_coding
FBgn0036133	CG7638	3L	11109690	11112117	1	protein_coding
FBgn0264574	Glut1	3L	914074	993788	1	protein_coding
FBgn0259186	Ir60c	2R	24517824	24519152	1	pseudogene
FBgn0053458	CG33458	2R	16486674	16487801	1	protein_coding
FBgn0019686	lok	2L	20061422	20064381	1	protein_coding
FBgn0034795	MED23	2R	22888928	22894425	1	protein_coding
FBgn0033766	Nup188	2R	12679967	12686179	-1	protein_coding
FBgn0029959	Rab39	X	7734923	7736756	1	protein_coding
FBgn0035321	CG1275	3L	2252744	2257423	-1	protein_coding
FBgn0053511	CG33511	2L	21081127	21082494	-1	protein_coding
FBgn0034275	CG5002	2R	17750293	17753214	1	protein_coding
FBgn0050406	tRNA:Gly-TCC-2-2	2R	21848407	21848478	-1	tRNA
FBgn0031835	CG11319	2L	6568400	6601068	-1	protein_coding
FBgn0259859	Su(Ste):CR42428	Y	941169	942020	1	ncRNA
FBgn0263987	spoon	X	5412386	5420867	-1	protein_coding
FBgn0032791	CG18094	2L	19490262	19491679	1	protein_coding
FBgn0030625	CG5877	X	15293031	15297169	1	protein_coding
FBgn0266148	lncRNA:CR44854	2L	14557939	14558852	-1	ncRNA
FBgn0000316	cin	X	255674	258469	1	protein_coding
FBgn0038855	CG5745	3R	21102199	21105113	1	protein_coding
FBgn0038221	CG3259	3R	14302428	14304458	1	protein_coding
FBgn0045866	bai	3R	25039374	25040443	1	protein_coding
FBgn0000108	Appl	X	530501	579044	1	protein_coding
FBgn0266595	lncRNA:CR45120	3L	13599230	13599883	1	ncRNA
FBgn0036660	CG13025	3L	16776531	16779736	-1	protein_coding
FBgn0266377	Pde8	2R	23657567	23680844	1	protein_coding
FBgn0035955	CG5194	3L	9008624	9009838	-1	protein_coding
FBgn0035279	Cpr62Ba	3L	1824129	1831783	-1	protein_coding
FBgn0027109	NPF	3R	16609220	16611325	1	protein_coding
FBgn0037633	CG9839	3R	8803471	8805802	-1	protein_coding
FBgn0028539	Eato	2L	13784084	13790562	1	protein_coding
FBgn0267171	asRNA:CR45611	X	21373635	21374417	-1	ncRNA
FBgn0040228	DCTN5-p25	2L	15005733	15006607	1	protein_coding
FBgn0250754	CG42232	3R	16458280	16469663	-1	protein_coding
FBgn0038238	CG14854	3R	14559166	14560054	-1	protein_coding
FBgn0040334	Tsp3A	X	2617758	2619738	-1	protein_coding
FBgn0036010	Ir67a	3L	9542245	9543999	-1	protein_coding
FBgn0037818	CG6465	3R	10675560	10677251	-1	protein_coding
FBgn0025885	Inos	2R	7454922	7458874	-1	protein_coding
FBgn0267802	lncRNA:CR46127	3R	7883693	7884441	-1	ncRNA
FBgn0039476	CG6271	3R	27024968	27026109	-1	protein_coding
FBgn0043841	vir-1	2L	12403270	12423439	-1	protein_coding
FBgn0037517	CG10086	3R	7790633	7793483	1	protein_coding
FBgn0039437	TwdlL	3R	26624587	26625652	-1	protein_coding
FBgn0032689	CG10413	2L	18599755	18605249	-1	protein_coding
FBgn0266001	lncRNA:CR44775	2L	6507424	6508404	-1	ncRNA
FBgn0037460	sowi	3R	6626930	6627900	-1	protein_coding
FBgn0033737	Nup54	2R	12428449	12431099	-1	protein_coding
FBgn0052208	825-Oak	3L	19471656	19472228	-1	protein_coding
FBgn0036665	CG13024	3L	16809658	16829074	-1	protein_coding
FBgn0033076	CG15233	2R	6600044	6600978	-1	protein_coding
FBgn0085205	CG34176	2L	4004080	4004480	1	protein_coding
FBgn0267439	asRNA:CR45789	2L	10392867	10393434	-1	ncRNA
FBgn0035496	CG14990	3L	4093207	4094344	1	protein_coding
FBgn0030722	CG12395	X	16061902	16062898	-1	protein_coding
FBgn0029813	AgmNAT	X	5814864	5815820	-1	protein_coding
FBgn0036056	CG6709	3L	9893188	9894743	-1	protein_coding
FBgn0038567	CG14316	3R	18152120	18153640	1	protein_coding
FBgn0037653	CG11982	3R	9006456	9008030	1	protein_coding
FBgn0262476	CG43066	2R	18514574	18526439	1	protein_coding
FBgn0037391	CG2017	3R	5858083	5862405	-1	protein_coding
FBgn0051822	CR31822	2L	15836725	15837444	-1	pseudogene
FBgn0053192	MtnD	3R	20534962	20535301	1	protein_coding
FBgn0031091	Phf7	X	20160355	20165830	-1	protein_coding
FBgn0004841	TkR86C	3R	10737592	10751228	-1	protein_coding
FBgn0265851	lncRNA:CR44640	2R	20302195	20302995	1	ncRNA
FBgn0039958	CG12567	2L	23161122	23174484	-1	protein_coding
FBgn0039381	SppL	3R	25881984	25888230	1	protein_coding
FBgn0000158	bam	3R	25243039	25245057	-1	protein_coding
FBgn0029941	CG1677	X	7281089	7405797	-1	protein_coding
FBgn0051760	CG31760	2L	12142780	12170508	1	protein_coding
FBgn0032536	Ance-3	2L	13914725	13956188	1	protein_coding
FBgn0034691	Synj	2R	22080176	22085767	1	protein_coding
FBgn0000414	Dab	3L	16712126	16724575	1	protein_coding
FBgn0035851	MED24	3L	8191270	8196573	1	protein_coding
FBgn0040076	primo-2	3R	13710017	13711835	-1	protein_coding
FBgn0263038	CG43333	2L	14163508	14180686	-1	protein_coding
FBgn0011957	tRNA:Arg-ACG-1-2	2R	6161535	6161607	1	tRNA
FBgn0043539	Obp22a	2L	1991381	1992160	-1	protein_coding
FBgn0035600	Cyt-c1	3L	5360211	5362798	1	protein_coding
FBgn0265597	rad	X	12988615	13079070	1	protein_coding
FBgn0284243	betaTub56D	2R	19447319	19451600	-1	protein_coding
FBgn0003028	ovo	X	5048273	5070929	1	protein_coding
FBgn0028855	CG15282	2L	14712471	14713298	1	protein_coding
FBgn0011672	Mvl	3R	21051383	21060800	-1	protein_coding
FBgn0265740	lncRNA:CR44547	3L	11034802	11035905	1	ncRNA
FBgn0265468	lncRNA:CR44361	3L	11315299	11315860	1	ncRNA
FBgn0039936	Gyf	4	853557	867025	-1	protein_coding
FBgn0266895	lncRNA:CR45355	2L	16534962	16535228	-1	ncRNA
FBgn0024897	b6	X	1686624	1690187	1	protein_coding
FBgn0053556	form3	3L	7094818	7123297	1	protein_coding
FBgn0267099	lncRNA:CR45539	X	9120717	9120918	-1	ncRNA
FBgn0266398	lncRNA:CR45038	3R	26004278	26004681	1	ncRNA
FBgn0032669	CG15155	2L	18154851	18155942	1	protein_coding
FBgn0264260	CG43760	2L	15776442	15776852	-1	protein_coding
FBgn0262816	CG43187	2R	16380516	16385765	1	protein_coding
FBgn0083960	CG34124	2L	4958411	4965430	1	protein_coding
FBgn0036740	Vps60	3L	17620123	17621625	-1	protein_coding
FBgn0262291	mir-956	3L	11773731	11773878	-1	pre_miRNA
FBgn0039616	CG11828	3R	28923044	28925086	1	protein_coding
FBgn0030196	Psf3	X	10383353	10385861	-1	protein_coding
FBgn0037877	CG6689	3R	11217898	11220064	-1	protein_coding
FBgn0035143	Ppm1	3L	581337	582810	1	protein_coding
